month,date,ticker,type,ret_z,volz,why
1963-05,1963-05-02,DIS,spike + volume_shock,2.7000760058988353,2.5466526582294198,|ret_z|>2.5; volz>2.5; range_pct>95%
1963-05,1963-05-20,KO,,-1.5737572858020699,0.630370127043056,range_pct>95%
1963-05,1963-05-23,KO,crash,-2.8607163201367216,0.4035797087973885,|ret_z|>2.5; ; range_pct>95%
1963-05,1963-05-28,KO,,2.453278466730137,0.9545865035290251,range_pct>95%
1963-05,1963-05-29,KO,,-2.3169039496967407,1.0076138864362616,range_pct>95%
1963-06,1963-06-03,DIS,,-1.0552466430408274,0.7258763325177878,range_pct>95%
1963-06,1963-06-13,IBM,,-1.2431066235684318,-0.10473632269976418,range_pct>95%
1963-06,1963-06-27,DIS,,-2.467523520428604,0.012932640646491623,range_pct>95%
1963-06,1963-06-27,IBM,,-1.0640786835579348,1.8000218611689687,range_pct>95%
1963-07,1963-07-01,IBM,,-2.138327261576139,1.8409284856338526,range_pct>95%
1963-07,1963-07-01,KO,spike,3.80671395924734,-1.7557217546265635,|ret_z|>2.5
1963-07,1963-07-02,KO,crash,-3.8109949785553865,0.5975243139692676,|ret_z|>2.5
1963-07,1963-07-09,DIS,volume_shock,2.381180576851082,2.78911050265443,volz>2.5; range_pct>95%
1963-07,1963-07-10,DIS,,0.3939536961044774,1.6123294649662718,range_pct>95%
1963-07,1963-07-11,DIS,,-1.1122754549861387,0.985479987743319,range_pct>95%
1963-07,1963-07-31,IBM,,-1.7693765043760874,1.475796401153189,range_pct>95%
1963-08,1963-08-06,DIS,volume_shock,2.2410484980828618,2.622988536968768,volz>2.5
1963-08,1963-08-30,KO,,-0.45279040024163936,-1.3513956876766882,range_pct>95%
1963-09,1963-09-06,IBM,,1.766329010141434,2.261854186600467,range_pct>95%
1963-09,1963-09-19,KO,volume_shock,1.4924609748630653,2.533293928705266,volz>2.5; range_pct>95%
1963-09,1963-09-25,IBM,volume_shock,-1.0520218935539116,2.6507493923120635,volz>2.5; range_pct>95%
1963-09,1963-09-25,KO,,-1.5565999695406036,0.6898524653460377,range_pct>95%
