date,market_ret,breadth,market_anomaly_flag
1962-04-02,-0.0034947299682173507,0.3333333333333333,0
1962-04-03,-0.02088795128270023,0.0,1
1962-04-04,0.004825597606311812,0.6666666666666666,0
1962-04-05,0.005211947341606275,0.6666666666666666,0
1962-04-06,0.008372456621435894,0.6666666666666666,0
1962-04-09,0.0023105953863438167,1.0,0
1962-04-10,0.00016100716501935933,0.3333333333333333,0
1962-04-11,-0.015620616138810236,0.0,1
1962-04-12,-0.02563167213967595,0.0,1
1962-04-13,0.012452960386618176,0.6666666666666666,0
1962-04-16,0.005351615225032469,0.6666666666666666,0
1962-04-17,0.010452281190255727,1.0,0
1962-04-18,0.005729244343672797,0.6666666666666666,0
1962-04-19,0.0004329136611309625,0.3333333333333333,0
1962-04-23,0.0046774343664072555,0.6666666666666666,0
1962-04-24,0.005910129328732546,0.6666666666666666,0
1962-04-25,-0.008945874833176881,0.0,1
1962-04-26,-0.017999718131741393,0.0,1
1962-04-27,-0.01269243654041837,0.3333333333333333,0
1962-04-30,-0.047434691316044865,0.0,1
1962-05-01,0.014014558001912278,1.0,0
1962-05-02,0.013973859113122508,1.0,0
1962-05-03,0.008449903065410417,0.6666666666666666,0
1962-05-04,-1.2140120802713502e-05,0.3333333333333333,0
1962-05-07,-0.015668853838512242,0.0,1
1962-05-08,-0.022324873429340752,0.0,1
1962-05-09,-0.022827780451338858,0.0,1
1962-05-10,-0.006389738847413969,0.3333333333333333,0
1962-05-11,-0.024013038579824026,0.0,1
1962-05-14,0.019305117094843727,0.6666666666666666,0
1962-05-15,0.017164622311086213,0.6666666666666666,0
1962-05-16,-0.00541440900199371,0.6666666666666666,0
1962-05-17,-0.014686340148163946,0.0,1
1962-05-18,0.005411732336400761,1.0,0
1962-05-21,-0.0015716641387851411,0.0,1
1962-05-22,-0.020874001491019922,0.0,1
1962-05-23,-0.034590500955794114,0.0,1
1962-05-24,-0.017897770037813232,0.3333333333333333,0
1962-05-25,0.0018823306975342957,0.6666666666666666,0
1962-05-28,-0.051551820652074976,0.0,1
1962-05-29,0.004044293044829598,0.6666666666666666,0
1962-05-31,0.05936509668682014,1.0,0
1962-06-01,-0.010337682485162461,0.0,1
1962-06-04,-0.06858272603495603,0.0,1
1962-06-05,0.02661353826369554,1.0,0
1962-06-06,0.016247839416079806,1.0,0
1962-06-07,-0.00401117187485837,0.6666666666666666,0
1962-06-08,0.013726405857221438,1.0,0
1962-06-11,-0.018310053658393038,0.0,1
1962-06-12,-0.047984386806333434,0.0,1
1962-06-13,-0.026435591407721486,0.0,1
1962-06-14,-0.052180145947539204,0.0,1
1962-06-15,0.07255369976857007,1.0,0
1962-06-18,-0.0009487413886370977,0.3333333333333333,0
1962-06-19,0.0015935205305263784,0.3333333333333333,0
1962-06-20,-0.018475961882162568,0.0,1
1962-06-21,-0.02261914547995784,0.0,1
1962-06-22,-0.009367998062889385,0.3333333333333333,0
1962-06-25,-0.004073970259163821,0.3333333333333333,0
1962-06-26,-0.013653659208684998,0.0,1
1962-06-27,0.026769599388633807,0.6666666666666666,0
1962-06-28,0.026830200377829943,0.6666666666666666,0
1962-06-29,-0.013955148802911044,0.0,1
1962-07-02,0.022392342380912034,1.0,0
1962-07-03,0.020527065087034835,1.0,0
1962-07-05,-0.0042455013377386,0.3333333333333333,0
1962-07-06,-0.018414885909376528,0.0,1
1962-07-09,0.01146225251458525,0.6666666666666666,0
1962-07-10,0.024424896431255966,1.0,0
1962-07-11,0.03122125347602811,1.0,0
1962-07-12,0.0044224305431753335,0.6666666666666666,0
1962-07-13,-0.005369536022130676,0.0,1
1962-07-16,0.0017969630899026257,0.6666666666666666,0
1962-07-17,-0.018589046150168802,0.0,1
1962-07-18,-0.012826368397698573,0.0,1
1962-07-19,0.00815948501680075,1.0,0
1962-07-20,0.012048512391876468,1.0,0
1962-07-23,-0.003360215889160282,0.6666666666666666,0
1962-07-24,-0.015752962465731695,0.0,1
1962-07-25,0.004158785669562071,0.6666666666666666,0
1962-07-26,-0.003729173870141748,0.6666666666666666,0
1962-07-27,0.009826647463259416,1.0,0
1962-07-30,0.016793601610450182,1.0,0
1962-07-31,0.009679865539927205,0.6666666666666666,0
1962-08-01,-0.01509013896142201,0.0,1
1962-08-02,0.024431117975170686,1.0,0
1962-08-03,-0.0046098117699249945,0.3333333333333333,0
1962-08-06,-0.001100333143193355,0.3333333333333333,0
1962-08-07,-0.009842638763807235,0.0,1
1962-08-08,0.012446890378266554,0.6666666666666666,0
1962-08-09,-0.008564247446465703,0.0,1
1962-08-10,-0.004397032597691419,0.3333333333333333,0
1962-08-13,-0.0008026246472807586,0.3333333333333333,0
1962-08-14,0.018842273779751933,1.0,0
1962-08-15,0.006797450671150044,1.0,0
1962-08-16,0.0021754523322395545,0.3333333333333333,0
1962-08-17,0.011351741247051184,0.6666666666666666,0
1962-08-20,0.024202471475945748,1.0,0
1962-08-21,-0.0008465600392174958,0.0,1
1962-08-22,0.016796483713277615,0.6666666666666666,0
1962-08-23,-0.0025569927910083687,0.6666666666666666,0
1962-08-24,0.009406149920728487,0.3333333333333333,0
1962-08-27,-0.008368012646103207,0.0,1
1962-08-28,-0.029763279141992505,0.0,1
1962-08-29,0.0044562335896660326,0.3333333333333333,0
1962-08-30,-0.004093401971103601,0.3333333333333333,0
1962-08-31,0.010485468539468782,1.0,0
1962-09-04,-0.019141423539240383,0.0,1
1962-09-05,-0.012101421296034087,0.0,1
1962-09-06,0.006105566218377656,0.6666666666666666,0
1962-09-07,-0.007616215032468528,0.3333333333333333,0
